                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
158,0.5277,0.45603,1.0577,0.74348,0.70497,0.74362,0.59753,0.79344,0.80845,1.3072,0.0069112,0.0069112,0.0069112,0.7237130665193828
159,0.53316,0.46467,1.0515,0.73989,0.70752,0.74555,0.59705,0.79508,0.815,1.3095,0.0068914,0.0068914,0.0068914,0.7233430372872925
160,0.51579,0.44884,1.0472,0.76445,0.69994,0.74231,0.59694,0.79756,0.8106,1.3179,0.0068716,0.0068716,0.0068716,0.7307740875040121
161,0.52369,0.45712,1.0427,0.74465,0.72112,0.74534,0.59712,0.80051,0.81377,1.3237,0.0068518,0.0068518,0.0068518,0.732696136501634
162,0.50848,0.44137,1.0248,0.72139,0.728,0.75301,0.60203,0.80435,0.81685,1.322,0.006832,0.006832,0.006832,0.7246799274177413
163,0.5163,0.44026,1.0358,0.74306,0.69272,0.75063,0.6028,0.7978,0.80874,1.3146,0.0068122,0.0068122,0.0068122,0.7170075125715639
164,0.52008,0.44074,1.041,0.75701,0.67973,0.74878,0.60241,0.78452,0.81498,1.299,0.0067924,0.0067924,0.0067924,0.7162916147667636
165,0.51161,0.43666,1.0437,0.74658,0.71003,0.7499,0.60173,0.78375,0.81317,1.3059,0.0067726,0.0067726,0.0067726,0.7278464343921848
166,0.51796,0.45012,1.0506,0.75626,0.69479,0.7516,0.60415,0.78558,0.80662,1.311,0.0067528,0.0067528,0.0067528,0.7242229907997657
167,0.5128,0.44314,1.0454,0.76128,0.6875,0.75284,0.60361,0.78464,0.80129,1.3173,0.006733,0.006733,0.006733,0.7225113543809274
